ASIN,Date,Selling Price,Last Known Selling Price,BSR,Last Known BSR,Estimated Sales,Availability
B07GRSCBLM,2023-03-28,3999.0,,718.0,,0.0,1.0
B07GRSCBLM,2023-03-29,3999.0,3999.0,842.0,718.0,0.0,1.0
B07GRSCBLM,2023-03-30,3999.0,3999.0,913.0,842.0,0.0,1.0
B08KGVWZCC,2023-03-28,2499.0,,,,0.0,1.0
B08KGVWZCC,2023-03-29,2499.0,2499.0,,,0.0,1.0
B08KGVWZCC,2023-03-30,2499.0,2499.0,,,0.0,1.0
B08FB8JPV2,2023-03-28,3499.0,,183.0,,0.0,1.0
B08FB8JPV2,2023-03-29,3499.0,3499.0,368.0,183.0,0.0,1.0
B08FB8JPV2,2023-03-30,3499.0,3499.0,424.0,368.0,0.0,1.0
B08WK7D26P,2023-03-28,3999.0,,626.0,,0.0,1.0
B08WK7D26P,2023-03-29,3999.0,3999.0,775.0,626.0,0.0,1.0
B08WK7D26P,2023-03-30,3999.0,3999.0,810.0,775.0,0.0,1.0
B09PRKPL27,2023-03-28,2999.0,,428.0,,0.0,1.0
B09PRKPL27,2023-03-29,2999.0,2999.0,576.0,428.0,0.0,1.0
B09PRKPL27,2023-03-30,2999.0,2999.0,630.0,576.0,0.0,1.0
B08QFF63GZ,2023-03-28,4499.0,,543.0,,0.0,1.0
B08QFF63GZ,2023-03-29,4499.0,4499.0,689.0,543.0,0.0,1.0
B08QFF63GZ,2023-03-30,4499.0,4499.0,344.0,689.0,0.0,1.0
B0BMB47BVG,2023-03-28,5999.0,,380.0,,0.0,1.0
B0BMB47BVG,2023-03-29,5999.0,5999.0,604.0,380.0,0.0,1.0
B0BMB47BVG,2023-03-30,5999.0,5999.0,656.0,604.0,0.0,1.0
B08KGS4SCS,2023-03-28,2999.0,,,,0.0,1.0
B08KGS4SCS,2023-03-29,2999.0,2999.0,,,0.0,1.0
B08KGS4SCS,2023-03-30,2999.0,2999.0,,,0.0,1.0
B08SBV7VCP,2023-03-28,2999.0,,793.0,,0.0,1.0
B08SBV7VCP,2023-03-29,2999.0,2999.0,890.0,793.0,0.0,1.0
B08SBV7VCP,2023-03-30,2999.0,2999.0,903.0,890.0,0.0,1.0
B09FK5ZDYK,2023-03-28,3999.0,,,,0.0,1.0
B09FK5ZDYK,2023-03-29,3999.0,3999.0,,,0.0,1.0
B09FK5ZDYK,2023-03-30,3999.0,3999.0,,,0.0,1.0
B09FK6LP2F,2023-03-28,3499.0,,169.0,,0.0,1.0
B09FK6LP2F,2023-03-29,3499.0,3499.0,181.0,169.0,0.0,1.0
B09FK6LP2F,2023-03-30,3499.0,3499.0,250.0,181.0,0.0,1.0
B0BMB6KPKC,2023-03-28,5999.0,,886.0,,0.0,1.0
B0BMB6KPKC,2023-03-29,5999.0,5999.0,486.0,886.0,0.0,1.0
B0BMB6KPKC,2023-03-30,5999.0,5999.0,609.0,486.0,0.0,1.0
B08KGH3QGL,2023-03-28,2499.0,,,,0.0,1.0
B08KGH3QGL,2023-03-29,2499.0,2499.0,,,0.0,1.0
B08KGH3QGL,2023-03-30,2499.0,2499.0,,,0.0,1.0
B08F8J6XPM,2023-03-28,2999.0,,117.0,,0.0,1.0
B08F8J6XPM,2023-03-29,2999.0,2999.0,114.0,117.0,0.0,1.0
B08F8J6XPM,2023-03-30,2999.0,2999.0,67.0,114.0,0.0,1.0
B017D4SI3G,2023-03-28,2999.0,,,,0.0,1.0
B017D4SI3G,2023-03-29,2999.0,2999.0,,,0.0,1.0
B017D4SI3G,2023-03-30,2999.0,2999.0,,,0.0,1.0
B0BSGNFC3N,2023-03-28,3999.0,,460.0,,0.0,1.0
B0BSGNFC3N,2023-03-29,3999.0,3999.0,736.0,460.0,0.0,1.0
B0BSGNFC3N,2023-03-30,3999.0,3999.0,839.0,736.0,0.0,1.0
B08WK648KQ,2023-03-28,3999.0,,646.0,,0.0,1.0
B08WK648KQ,2023-03-29,3999.0,3999.0,787.0,646.0,0.0,1.0
B08WK648KQ,2023-03-30,3999.0,3999.0,866.0,787.0,0.0,1.0
B08KGSSDQX,2023-03-28,2999.0,,,,0.0,1.0
B08KGSSDQX,2023-03-29,2999.0,2999.0,,,0.0,1.0
B08KGSSDQX,2023-03-30,2999.0,2999.0,,,0.0,1.0
B0BSGN3VQ8,2023-03-28,5999.0,,624.0,,0.0,1.0
B0BSGN3VQ8,2023-03-29,5999.0,5999.0,831.0,624.0,0.0,1.0
B0BSGN3VQ8,2023-03-30,5999.0,5999.0,911.0,831.0,0.0,1.0
B08FHC96KW,2023-03-28,2849.0,,1002.0,,0.0,1.0
B08FHC96KW,2023-03-29,2909.0,2849.0,1059.0,1002.0,0.0,1.0
B08FHC96KW,2023-03-30,2909.0,2909.0,1085.0,1059.0,0.0,1.0
B07D5XMJS2,2023-03-28,1999.0,,511.0,,0.0,1.0
