ASIN,Category,Latest BSR,Last Day BSR
B07GRSCBLM,Clothing & Accessories,177985.0,162849.0
B07GRSCBLM,Men's Kurta Sets,913.0,842.0
B08KGVWZCC,Clothing & Accessories,156713.0,147739.0
B08KGVWZCC,Men's Unstitched Fabric,519.0,489.0
B08FB8JPV2,Clothing & Accessories,84548.0,70889.0
B08FB8JPV2,Men's Kurta Sets,424.0,368.0
B08WK7D26P,Clothing & Accessories,159563.0,149068.0
B08WK7D26P,Men's Kurta Sets,810.0,775.0
B09PRKPL27,Clothing & Accessories,118414.0,106039.0
B09PRKPL27,Men's Kurta Sets,630.0,576.0
B08QFF63GZ,Clothing & Accessories,68640.0,130987.0
B08QFF63GZ,Men's Kurta Sets,344.0,689.0
B0BMB47BVG,Clothing & Accessories,124303.0,111764.0
B0BMB47BVG,Men's Kurta Sets,656.0,604.0
B08KGS4SCS,Clothing & Accessories,62736.0,34168.0
B08KGS4SCS,Men's Unstitched Fabric,154.0,73.0
B08SBV7VCP,Clothing & Accessories,175726.0,171471.0
B08SBV7VCP,Men's Kurta Sets,903.0,890.0
B09FK5ZDYK,Clothing & Accessories,164908.0,156404.0
B09FK5ZDYK,Men's Unstitched Fabric,542.0,521.0
B09FK6LP2F,Clothing & Accessories,46387.0,34633.0
B09FK6LP2F,Men's Kurta Sets,250.0,181.0
B0BMB6KPKC,Clothing & Accessories,86630.0,65223.0
B0BMB6KPKC,Men's Kurtas,609.0,486.0
B08KGH3QGL,Clothing & Accessories,108079.0,97871.0
B08KGH3QGL,Men's Unstitched Fabric,345.0,313.0
B08F8J6XPM,Clothing & Accessories,15447.0,24436.0
B08F8J6XPM,Men's Kurta Sets,67.0,114.0
B0BSGNFC3N,Clothing & Accessories,166161.0,140147.0
B0BSGNFC3N,Men's Kurta Sets,839.0,736.0
B08WK648KQ,Clothing & Accessories,169904.0,150396.0
B08WK648KQ,Men's Kurta Sets,866.0,787.0
B08KGSSDQX,Clothing & Accessories,93040.0,71185.0
B08KGSSDQX,Men's Unstitched Fabric,271.0,209.0
B0BSGN3VQ8,Clothing & Accessories,177723.0,160883.0
B0BSGN3VQ8,Men's Kurta Sets,911.0,831.0
B08FHC96KW,Clothing & Accessories,212869.0,207868.0
B08FHC96KW,Men's Kurta Sets,1085.0,1059.0
B07D5XMJS2,Clothing & Accessories,119581.0,113847.0
B07D5XMJS2,Men's Kurta Sets,636.0,615.0
B0BQCBKPX2,Clothing & Accessories,79415.0,49573.0
B0BQCBKPX2,Men's Kurta Sets,386.0,249.0
B09FK6BK86,Clothing & Accessories,187155.0,179745.0
B09FK6BK86,Men's Unstitched Fabric,632.0,617.0
B01GOE6TAA,Clothing & Accessories,41657.0,31109.0
B01GOE6TAA,Men's Kurta Sets,227.0,160.0
B0B2DYSK5R,Clothing & Accessories,144849.0,132727.0
B0B2DYSK5R,Men's Kurta Sets,739.0,693.0
B0BQN22K6Q,Clothing & Accessories,150430.0,136934.0
B0BQN22K6Q,Boys' Kurta Sets,565.0,506.0
B092DQVD65,Clothing & Accessories,155185.0,143067.0
B092DQVD65,Men's Kurta Sets,790.0,745.0
B0BQCB5T48,Clothing & Accessories,208213.0,190507.0
